flight,elevation,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,latitude,longitude,day
0,43.0,28.7189998626709,18.16900062561035,21.927335739135742,0.0,23.47414,120.4632,336
0,34.0,24.384498596191406,13.934500694274902,18.26783561706543,0.0,23.86692,120.5274,41
0,22.0,24.817001342773438,17.016998291015625,21.09200096130371,2.0,22.6426351,120.5090625,117
0,9.0,29.836999893188477,25.23699951171875,26.70366668701172,14.100000381469727,22.93325,120.2305,149
0,70.0,31.27899932861328,24.02899932861328,27.10816764831543,2.5999999046325684,22.78797,120.614,239
0,145.0,28.0939998626709,15.444000244140625,21.319002151489258,0.0,24.187095,120.610158,349
0,24.0,30.339500427246094,25.539499282836914,27.39366912841797,5.800000190734863,22.98406,120.2172,236
0,24.0,32.503997802734375,24.804000854492188,28.258169174194336,5.099999904632568,22.66642,120.4875,173
0,54.0,31.678998947143555,25.578998565673828,28.40608787536621,1.0,23.71063,120.5415,170
0,39.0,31.395000457763672,19.344999313354492,24.805418014526367,0.0,23.47685,120.4599,119
0,9.0,25.29949951171875,18.699499130249023,21.88283348083496,0.20000000298023224,22.56275,120.3323611,94
0,117.0,31.042499542236328,23.74250030517578,26.69041633605957,13.700000762939453,24.17093,120.6742,153
0,30.0,26.07550048828125,17.725500106811523,21.84633445739746,0.20000000298023224,22.68929,120.4333,70
0,20.0,27.1560001373291,24.20600128173828,25.510168075561523,31.700000762939453,22.55352,120.55,144
0,20.0,31.440500259399414,25.140499114990234,27.678003311157227,3.799999952316284,22.6411,120.3587,261
0,20.0,25.9060001373291,19.506000518798828,22.87891960144043,0.0,22.55352,120.55,334
0,30.0,26.15049934387207,18.20050048828125,22.285917282104492,1.100000023841858,22.97309,120.2294,34
0,9.0,28.79949951171875,23.34950065612793,25.799497604370117,0.10000000149011612,22.56275,120.3323611,112
0,13.0,27.982500076293945,22.13249969482422,24.484582901000977,1.4000000953674316,22.99566,120.2003,115
0,35.0,28.440500259399414,23.790498733520508,25.9529972076416,23.60000228881836,23.09319,120.3746,184
0,32.0,22.958999633789062,15.009000778198242,18.573583602905273,0.0,22.9943,120.2325,339
0,8.0,35.56550216674805,25.565500259399414,29.546751022338867,0.0,23.24572,120.2671,130
0,18.0,22.480499267578125,14.280500411987305,17.428417205810547,0.0,23.70524,120.353,24
0,145.0,32.09400177001953,25.643999099731445,28.50441551208496,4.299999713897705,24.187095,120.610158,180
0,70.0,30.078998565673828,23.078998565673828,26.033166885375977,0.800000011920929,22.78771,120.6139,119
0,128.0,32.204498291015625,24.554500579833984,27.7274169921875,4.299999713897705,24.1868848260145,120.614189568567,211
0,21.0,29.765501022338867,17.865501403808594,22.973833084106445,0.0,23.14112,120.3176,312
0,20.0,27.540498733520508,18.540498733520508,22.0175838470459,0.10000000149011612,22.6411,120.3587,18
0,16.0,29.20549964904785,25.655500411987305,26.988832473754883,16.30000114440918,22.59339,120.3311,189
0,30.0,31.025501251220703,25.225500106811523,27.140085220336914,15.0,22.68929,120.4333,226
0,39.0,30.094999313354492,17.844999313354492,23.259584426879883,0.30000001192092896,23.47685,120.4599,63
0,32.0,23.208999633789062,13.459000587463379,17.37983512878418,0.0,22.99437,120.2323,24
0,24.0,33.65399932861328,24.554000854492188,28.801916122436523,1.0,22.66642,120.4875,237
0,26.0,27.398000717163086,16.99799919128418,21.920913696289062,0.4000000059604645,22.9911,120.2245,76
0,22.0,24.558000564575195,16.007999420166016,19.860084533691406,0.0,22.64532,120.3514,349
0,87.0,26.445499420166016,21.545499801635742,23.34966468811035,3.0,22.64334,120.6098,116
0,316.0,20.155500411987305,11.755499839782715,15.786746978759766,0.0,23.7122,120.689,364
0,9.0,26.92799949645996,21.277999877929688,24.203001022338867,1.0,22.46099,120.4437,89
0,8.0,24.864999771118164,15.364999771118164,21.158748626708984,0.0,23.02437,120.1941,92
0,24.0,31.689498901367188,26.839500427246094,28.656164169311523,2.000000238418579,22.98406,120.2172,208
0,145.0,16.893999099731445,13.543999671936035,14.831500053405762,4.899999618530273,24.187095,120.610158,355
0,21.0,30.51099967956543,24.861000061035156,27.77141571044922,0.10000000149011612,23.007036,120.219715,234
0,13.0,30.88249969482422,25.13249969482422,27.661666870117188,12.200000762939453,22.99566,120.2003,248
0,55.0,32.797000885009766,25.89699935913086,28.992830276489258,0.30000001192092896,23.495618,120.499877,276
